Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9655172413793104,0.9642857142857143,0.96875,0.9653524492234169
SVM,0.9310344827586207,0.9333333333333333,0.9375,0.930952380952381
KNN,0.8620689655172413,0.8823529411764706,0.875,0.861904761904762
